,lat_x,lng_x,distance
487,1.3021372,103.8836242,0.4657146460684475 km
488,1.30217505,103.79643184224484,0.20319625352963472 km
489,1.30226265,103.8526530243078,0.17623940063372887 km
490,1.3023067,103.86233961755724,0.3157843954407553 km
491,1.3023598,103.8839037,0.4515826815788837 km
492,1.3023752,103.886975,0.6511317669802816 km
493,1.3024067499999998,103.78973423673808,0.3871195732906451 km
494,1.30263275,103.82937155,0.6128790613175243 km
495,1.30275715,103.8466343,0.42691429325213515 km
496,1.3027702,103.8694351,0.6569235719289843 km
497,1.3028378,103.8408603,0.3463927459974117 km
498,1.30285725,103.9131993343271,2.0105433064543505 km
499,1.3029327,103.76221116682578,1.3874233292025056 km
500,1.30303135,103.8387144811559,0.30875803875490376 km
501,1.3030457,103.8509438,0.22188501164605717 km
502,1.3030922500000002,103.90874717973634,1.9452406094028603 km
503,1.3031066,103.83293253725688,0.7534804433488056 km
504,1.3031231,103.8393619,0.31761638755927096 km
505,1.30314875,103.9128505243531,1.978145754403292 km
506,1.30316065,103.90164539928097,1.5215719561284786 km
507,1.30319435,103.82966395,0.6506042576785466 km
508,1.30320595,103.9117963318656,1.9759519023046945 km
509,1.30320795,103.7890628474148,0.36876037101429926 km
510,1.30328395,103.90786995,1.8962376676292103 km
511,1.3032931,103.8386606,0.3382494698983283 km
512,1.3033728,103.8632239,0.40136902188409435 km
513,1.3033773,103.90973668696644,1.9534765200462185 km
514,1.30345725,103.91335220110804,1.944524274050132 km
515,1.30348325,103.82468956573264,0.14870546302085158 km
516,1.30350435,103.91545299731354,1.9587374546203966 km
517,1.3035407,103.8374737464923,0.40428677491555715 km
518,1.30358825,103.82516875239632,0.1938097376307207 km
519,1.30364895,103.82569707868404,0.24456438336199046 km
520,1.30373625,103.91143827379192,1.9205163802258072 km
521,1.30373745,103.91506248605587,1.92744081753478 km
522,1.3037602,103.90509796385244,1.783988192522945 km
